Rank,Name,Ticker,Return (%),Risk
234,Obayashi Corporation,1802.T,43.63,0.328
235,Nozawa Corporation,5237.T,18.96,0.157
236,Murakami Corporation,7292.T,36.54,0.284
237,"CE Holdings Co.,Ltd.",4320.T,58.81,0.424
238,"T&D Holdings, Inc.",8795.T,34.15,0.268
239,INFRONEER Holdings Inc.,5076.T,33.22,0.262
240,Nippon Hume Corporation,5262.T,54.55,0.4
241,"JAFCO Group Co., Ltd.",8595.T,19.51,0.162
242,Yamami Company,2820.T,62.38,0.447
243,Rinko Corporation,9355.T,14.49,0.123
244,"Takihyo Co., Ltd.",9982.T,38.62,0.3
245,"ZENKOKU HOSHO Co.,Ltd.",7164.T,14.37,0.123
246,"Mino Ceramic Co., Ltd.",5356.T,31.84,0.254
247,TOBISHIMA HOLDINGS Inc.,256A.T,25.35,0.207
248,Meiho Facility Works Ltd.,1717.T,15.71,0.134
249,"Belluna Co., Ltd.",9997.T,23.88,0.197
250,Ascentech K.K.,3565.T,55.33,0.409
251,"Tomoku Co., Ltd.",3946.T,29.98,0.242
252,Create Corporation,3024.T,21.13,0.177
253,"Three F Co.,Ltd.",7544.T,21.05,0.176
254,"Kokuyo Co., Ltd.",7984.T,21.71,0.181
255,"Nihon Nohyaku Co., Ltd.",4997.T,33.48,0.268
256,Taisei Corporation,1801.T,45.94,0.353
257,"SBI Holdings, Inc.",8473.T,39.97,0.314
258,AuBEX CORPORATION,3583.T,18.55,0.158
259,"Kyushu Electric Power Company, Incorporated",9508.T,37.59,0.298
260,Yamato Corporation,1967.T,40.1,0.316
261,"Shin-Etsu Polymer Co.,Ltd.",7970.T,25.23,0.21
262,"Hokko Chemical Industry Co., Ltd.",4992.T,39.31,0.311
263,"Takuma Co., Ltd.",6013.T,34.11,0.275
264,"Okamura Foods Co., Ltd.",2938.T,58.64,0.435
265,Semba Corporation,6540.T,28.49,0.235
266,"Sanshin Electronics Co., Ltd.",8150.T,25.35,0.212
267,"Wakita & Co.,LTD.",8125.T,20.12,0.172
268,"Seiwa Electric Mfg. Co., Ltd.",6748.T,22.87,0.193
269,"NCD Co., Ltd.",4783.T,58.49,0.436
270,MegaChips Corporation,6875.T,54.49,0.412
271,SHINKO Inc.,7120.T,18.63,0.16
272,"Japan Post Insurance Co., Ltd.",7181.T,35.71,0.288
